Sex,Pclass,Title,Age,FamilySize,Fare,Cabin_Letter,Cabin_Number,Embarked,Survived
0,3,12,0,0,1,-1,-1,1,1
0,1,8,1,2,5,0,34,1,1
1,2,9,3,1,1,-1,-1,1,1
0,1,12,7,0,2,-1,-1,1,1
1,3,9,2,3,1,-1,-1,0,1
0,1,7,11,0,2,2,104,1,1
0,2,12,8,3,2,-1,-1,1,0
0,3,12,0,1,1,-1,-1,1,0
0,1,12,7,0,2,2,111,0,0
0,1,12,10,1,5,2,92,0,1
0,3,12,0,0,1,-1,-1,1,0
0,3,12,6,0,1,-1,-1,0,1
0,1,12,14,0,2,4,38,1,0
1,1,13,0,1,3,3,21,1,1
1,2,9,11,0,1,-1,-1,1,1
0,3,12,0,0,1,-1,-1,2,0
0,1,12,10,0,2,4,12,1,1
0,3,12,7,0,1,-1,-1,1,0
0,1,12,10,0,2,4,63,1,0
0,2,12,10,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
0,3,12,8,0,1,-1,-1,1,0
0,2,12,0,0,1,-1,-1,1,0
0,1,12,12,0,2,-1,-1,1,0
0,3,12,0,0,1,-1,-1,2,0
1,3,9,1,3,1,-1,-1,0,1
0,3,12,0,0,1,-1,-1,1,0
0,3,12,8,0,1,-1,-1,1,0
1,2,13,7,3,2,-1,-1,1,1
1,2,13,5,0,1,3,-1,0,1
1,3,9,5,0,1,-1,-1,1,0
0,1,12,0,0,3,0,14,1,0
0,2,12,7,1,2,-1,-1,1,0
0,3,12,6,1,1,-1,-1,1,0
0,3,12,5,0,1,-1,-1,1,0
1,3,9,1,1,1,-1,-1,1,1
0,3,8,2,7,3,-1,-1,1,0
0,2,12,0,0,1,-1,-1,1,0
0,3,12,11,0,1,-1,-1,1,0
1,3,13,13,0,1,-1,-1,1,1
0,1,12,6,1,5,1,49,0,1
1,3,9,0,4,2,-1,-1,1,0
1,1,13,8,1,5,2,93,1,1
0,1,12,12,0,2,1,37,0,0
0,3,12,7,0,1,-1,-1,1,0
0,3,8,2,2,1,-1,-1,1,1
0,3,12,0,1,1,-1,-1,1,0
0,3,12,5,0,1,-1,-1,1,0
0,1,12,12,0,2,2,30,1,0
0,1,12,15,0,3,-1,-1,0,0
0,3,12,5,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,0,0
1,1,9,11,1,4,3,20,0,1
0,3,12,0,0,1,-1,-1,1,0
1,1,13,6,3,8,2,2226,1,0
0,3,12,5,0,1,-1,-1,1,0
0,3,12,4,0,1,-1,-1,1,0
1,3,9,5,0,1,-1,-1,2,0
1,3,9,0,0,1,-1,-1,2,0
1,3,9,8,0,1,-1,-1,1,0
1,1,9,4,0,5,1,79,1,1
0,1,12,4,1,6,2,65,0,0
1,2,13,7,2,2,-1,-1,1,1
0,1,12,0,0,2,-1,-1,1,1
0,3,12,6,0,2,-1,-1,1,0
0,3,12,6,0,3,-1,-1,1,1
0,3,12,6,0,1,-1,-1,2,1
0,3,12,0,0,1,-1,-1,1,0
0,1,12,8,0,2,4,25,1,1
1,1,13,11,1,3,-1,-1,0,1
0,3,12,5,0,1,-1,-1,1,0
0,1,12,10,0,2,3,46,1,0
1,2,13,7,0,1,5,33,1,1
0,3,12,0,0,2,-1,-1,2,0
1,2,13,8,1,2,-1,-1,1,1
0,3,12,7,0,1,-1,-1,1,0
1,1,9,7,0,5,1,73,1,1
0,3,12,5,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,0,0
1,1,13,9,1,3,1,18,0,1
0,3,12,0,0,1,-1,-1,0,0
0,3,12,9,0,1,-1,-1,2,0
1,2,9,11,0,1,-1,-1,1,1
0,1,12,0,0,12,2,95,1,0
0,3,12,8,0,1,-1,-1,1,0
0,2,12,5,3,1,-1,-1,1,0
1,2,9,1,2,2,-1,-1,1,1
0,3,12,0,0,1,-1,-1,0,0
0,3,12,4,2,1,-1,-1,0,0
1,3,13,0,2,2,-1,-1,0,1
1,3,9,7,0,1,-1,-1,1,0
1,2,9,2,2,2,-1,-1,1,1
0,1,7,10,0,2,1,38,1,0
1,1,9,7,0,6,-1,-1,0,1
0,3,12,0,0,1,-1,-1,1,0
1,1,9,5,2,3,1,39,0,1
1,1,9,8,2,4,1,22,1,1
1,3,9,2,6,2,-1,-1,1,0
1,3,9,3,6,2,-1,-1,1,0
0,2,12,7,1,2,-1,-1,1,1
0,1,12,11,1,6,2,86,0,0
0,1,12,13,0,2,-1,-1,1,0
1,2,13,4,1,2,-1,-1,1,1
0,2,12,0,0,1,-1,-1,0,1
0,3,12,7,2,2,-1,-1,1,0
0,2,8,2,2,2,-1,-1,1,1
0,1,12,4,2,6,2,70,0,1
0,2,12,6,0,2,-1,-1,1,0
0,3,12,0,0,1,-1,-1,2,0
0,3,12,5,0,1,-1,-1,0,1
1,3,9,5,0,1,-1,-1,1,1
0,1,12,13,0,2,-1,-1,1,0
1,1,6,10,1,2,0,16,0,1
0,1,12,0,0,12,-1,-1,0,0
1,1,13,8,2,4,4,67,1,1
1,3,13,8,1,1,-1,-1,1,1
0,3,12,0,0,1,-1,-1,2,0
0,3,12,9,0,1,-1,-1,1,0
0,2,12,6,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
1,3,9,0,0,1,-1,-1,1,0
0,3,12,5,2,2,-1,-1,1,0
0,3,12,4,0,1,-1,-1,1,0
1,3,13,6,4,2,-1,-1,1,0
0,3,12,0,0,1,-1,-1,0,0
0,3,12,7,0,1,-1,-1,1,1
0,2,12,13,0,1,-1,-1,1,1
1,1,13,11,2,3,2,101,1,1
0,1,12,8,0,2,4,25,1,1
1,3,9,0,0,1,-1,-1,2,1
0,3,12,4,0,1,-1,-1,1,0
0,3,12,4,0,1,-1,-1,1,0
1,2,9,7,0,1,-1,-1,1,1
1,1,13,8,1,3,4,44,1,1
1,3,13,0,1,1,-1,-1,0,0
0,3,12,7,0,1,-1,-1,1,1
1,2,9,6,2,2,-1,-1,1,1
1,1,13,8,2,6,2,68,0,1
0,2,12,11,0,2,-1,-1,1,0
0,1,12,8,0,3,0,10,0,0
0,3,12,0,0,1,-1,-1,0,0
1,1,9,4,2,4,4,68,1,1
0,2,12,10,0,1,-1,-1,1,0
0,1,12,13,2,4,1,41,0,1
0,3,12,5,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
0,3,12,8,0,1,-1,-1,1,0
1,1,13,11,1,4,3,20,0,1
0,3,12,10,0,1,-1,-1,1,0
1,3,9,0,2,1,-1,-1,2,0
0,2,12,8,1,2,-1,-1,1,0
0,3,12,8,2,2,-1,-1,1,0
1,2,9,0,0,2,-1,-1,1,1
0,3,12,10,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,0,0
0,1,16,10,1,3,0,20,0,1
1,2,13,5,3,2,-1,-1,1,1
0,3,12,0,0,1,-1,-1,1,0
0,1,12,0,0,3,-1,-1,1,0
0,3,12,9,0,1,-1,-1,1,0
0,1,12,8,0,2,-1,-1,0,1
0,3,12,8,1,1,-1,-1,1,0
0,3,12,7,0,1,-1,-1,1,0
0,1,12,6,0,2,-1,-1,1,1
1,2,13,5,3,3,-1,-1,0,1
1,1,9,9,0,8,2,125,1,1
1,3,13,8,6,2,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
1,3,9,0,1,1,-1,-1,2,1
0,3,12,0,0,1,-1,-1,2,0
0,3,12,8,0,1,-1,-1,1,0
1,2,9,5,3,4,-1,-1,1,1
0,3,12,7,2,1,-1,-1,1,0
1,3,13,6,1,1,-1,-1,1,0
1,2,9,1,3,2,5,4,1,1
0,2,12,6,0,1,-1,-1,1,0
0,3,12,6,1,1,-1,-1,0,0
0,1,12,9,1,3,3,19,1,1
0,3,12,5,2,1,-1,-1,0,1
0,3,12,5,0,1,-1,-1,1,0
0,3,12,5,0,1,-1,-1,1,0
0,1,12,13,0,2,3,50,1,0
0,2,15,12,0,1,-1,-1,2,0
1,1,9,5,0,4,3,9,1,1
0,3,12,6,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,2,0
0,1,12,17,0,2,0,23,1,1
0,3,12,11,0,1,-1,-1,1,0
0,1,4,7,0,2,1,50,0,1
0,1,12,0,0,1,-1,-1,1,0
1,3,9,2,5,2,-1,-1,1,0
1,2,9,6,0,1,-1,-1,1,1
0,3,12,7,0,1,-1,-1,1,0
0,2,12,7,2,2,-1,-1,1,0
1,3,13,9,5,2,-1,-1,1,0
0,3,12,0,1,1,-1,-1,1,0
0,3,12,5,0,1,-1,-1,1,0
1,1,10,5,0,4,1,35,0,1
1,3,9,1,5,2,-1,-1,1,0
0,3,12,0,0,3,-1,-1,1,1
1,3,9,1,3,1,-1,-1,0,1
0,1,12,10,1,4,3,33,0,1
0,3,12,4,0,1,-1,-1,1,0
0,1,1,12,0,2,0,26,0,1
0,3,12,0,0,1,-1,-1,1,0
1,3,9,5,0,1,-1,-1,1,1
0,3,12,0,0,1,-1,-1,1,0
1,2,9,4,1,2,-1,-1,1,1
0,3,12,5,0,1,-1,-1,1,0
1,3,9,0,0,1,-1,-1,2,1
1,3,9,4,0,1,-1,-1,2,0
0,2,12,5,2,4,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
1,3,13,7,2,1,-1,-1,2,0
0,2,12,5,0,1,-1,-1,1,0
0,1,12,12,2,6,3,48,0,0
0,1,4,11,2,7,-1,-1,1,1
0,3,12,9,0,1,-1,-1,0,0
0,1,12,10,0,2,4,58,1,0
0,3,12,8,0,1,-1,-1,1,0
0,3,12,5,1,1,-1,-1,1,1
0,2,12,7,2,4,-1,-1,1,0
0,2,12,6,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
0,3,12,9,0,1,-1,-1,1,0
1,1,13,0,1,3,2,126,1,1
1,2,13,9,2,2,-1,-1,1,1
0,1,12,7,1,3,1,71,1,0
0,2,12,15,0,1,-1,-1,1,0
0,2,12,7,0,1,-1,-1,1,1
0,2,12,0,0,1,-1,-1,1,0
0,3,12,4,0,1,-1,-1,1,0
0,3,12,5,0,1,-1,-1,1,0
1,3,9,4,0,1,-1,-1,1,1
1,3,13,9,7,3,-1,-1,1,0
0,1,12,8,1,26,1,515355,0,1
1,3,9,0,0,1,-1,-1,2,0
0,1,12,6,0,4,3,49,0,1
0,3,12,5,0,1,-1,-1,1,0
0,3,12,3,7,3,-1,-1,1,0
0,2,12,13,2,2,-1,-1,1,0
0,2,12,6,3,3,-1,-1,0,0
0,3,12,3,5,2,-1,-1,1,0
0,3,12,4,0,1,-1,-1,1,0
0,3,12,4,0,1,-1,-1,1,0
1,1,9,4,1,11,1,5,1,1
0,1,12,7,1,3,1,20,1,1
1,3,9,1,1,1,-1,-1,0,1
0,3,12,0,0,3,-1,-1,1,1
0,3,12,6,0,1,-1,-1,0,0
0,1,1,13,0,2,-1,-1,1,0
0,2,12,11,0,1,-1,-1,1,0
0,3,12,9,0,1,-1,-1,1,0
1,3,9,0,0,1,-1,-1,2,1
0,1,12,10,2,6,2,68,0,0
0,3,12,9,0,1,5,63,1,0
1,1,13,4,1,12,2,6264,0,1
0,1,12,8,0,2,4,24,1,1
1,3,9,4,1,1,-1,-1,0,0
0,3,12,6,0,1,-1,-1,2,0
0,3,12,6,1,1,-1,-1,1,0
0,2,12,8,0,2,-1,-1,1,0
1,2,13,10,0,1,-1,-1,1,1
0,1,12,9,0,2,4,24,1,1
1,1,9,5,0,8,-1,-1,1,1
0,3,8,0,2,1,-1,-1,0,1
1,1,10,5,0,3,2,90,0,1
0,1,12,0,0,2,2,124,1,0
0,1,12,10,1,3,2,126,1,1
0,3,12,6,0,1,-1,-1,1,0
0,2,12,11,0,1,-1,-1,1,0
0,3,12,4,0,1,5,73,1,0
1,1,9,8,0,12,2,45,0,1
1,2,9,6,0,1,4,101,1,1
0,3,12,0,0,1,-1,-1,2,0
0,3,12,7,0,1,-1,-1,1,0
1,2,9,2,1,2,-1,-1,1,1
0,3,12,4,1,1,-1,-1,1,0
0,2,12,7,0,1,-1,-1,1,0
0,2,12,11,0,1,-1,-1,1,0
0,1,12,6,1,3,4,8,1,1
0,3,12,5,0,1,-1,-1,1,0
1,2,13,7,3,2,-1,-1,1,1
1,3,9,0,0,1,-1,-1,2,1
0,2,12,6,1,2,-1,-1,1,0
1,3,9,6,1,1,-1,-1,1,0
1,1,9,6,0,11,1,5,1,1
0,3,12,3,0,1,-1,-1,0,0
0,2,12,0,0,1,-1,-1,1,0
0,2,12,5,0,1,-1,-1,1,0
0,2,12,5,0,1,-1,-1,1,0
0,3,12,6,0,1,-1,-1,1,0
1,3,13,10,4,2,-1,-1,1,0
0,1,12,8,0,26,1,101,0,1
0,3,12,0,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
0,1,12,0,0,2,3,45,1,1
0,1,12,8,1,4,2,46,1,0
1,1,9,5,4,14,1,57596366,0,1
0,3,12,5,1,1,-1,-1,1,0
0,3,12,7,0,1,-1,-1,1,1
0,1,0,15,2,4,1,22,1,0
0,3,12,4,2,2,-1,-1,1,0
1,2,9,7,0,1,-1,-1,1,1
0,1,12,4,1,3,3,30,1,0
0,3,12,7,0,1,-1,-1,2,0
1,2,9,1,2,2,-1,-1,1,1
0,3,8,2,1,1,4,121,1,1
0,3,12,7,0,1,-1,-1,1,0
0,3,12,5,0,1,-1,-1,1,0
1,2,13,10,3,4,-1,-1,1,1
0,2,8,1,2,1,-1,-1,1,1
0,3,12,6,0,1,-1,-1,1,0
0,2,12,4,0,1,-1,-1,1,0
0,3,12,7,0,1,-1,-1,1,0
1,1,2,7,0,5,1,77,1,1
0,3,12,0,0,1,-1,-1,1,0
0,3,12,9,0,1,-1,-1,1,0
0,3,12,5,0,1,-1,-1,0,1
1,1,13,8,3,7,1,9698,1,1
0,3,12,4,0,1,-1,-1,1,0
1,1,13,11,1,4,3,11,1,1
0,1,4,0,0,2,-1,-1,0,0
1,3,9,7,0,1,-1,-1,2,0
0,3,12,0,1,2,-1,-1,2,0
0,3,12,7,0,1,-1,-1,1,0
0,3,12,5,0,1,-1,-1,1,0
0,3,12,10,0,1,-1,-1,1,0
1,2,13,12,0,1,4,77,1,0
0,3,12,0,0,1,-1,-1,0,0
1,2,13,11,4,2,-1,-1,1,1
0,3,12,4,0,1,-1,-1,1,0
0,3,12,0,0,1,5,38,2,0
1,3,9,2,0,1,-1,-1,1,1
0,3,12,0,0,1,-1,-1,2,0
1,1,13,9,1,11,1,3,1,1
1,3,9,3,0,1,-1,-1,0,1
1,1,13,4,1,3,1,20,1,1
0,1,12,6,0,2,3,6,1,0
0,3,12,0,3,2,-1,-1,1,0
0,3,12,6,0,1,-1,-1,1,0
0,3,12,6,0,1,-1,-1,1,0
1,3,9,4,0,1,-1,-1,1,1
0,3,8,2,5,2,-1,-1,2,0
0,3,8,1,3,2,-1,-1,1,1
0,1,12,10,0,4,1,8284,0,0
0,3,12,0,0,1,-1,-1,2,0
0,2,12,4,0,2,-1,-1,1,0
1,3,9,0,10,4,-1,-1,1,0
0,1,12,0,0,2,-1,-1,0,0
0,3,12,6,0,1,-1,-1,1,0
0,2,12,8,0,1,-1,-1,1,0
1,1,4,10,0,2,3,17,1,1
1,3,13,7,0,1,-1,-1,1,1
0,3,12,7,0,1,-1,-1,0,0
1,3,13,7,2,2,-1,-1,1,0
0,2,12,7,0,1,-1,-1,1,0
1,2,13,7,2,2,-1,-1,1,1
0,1,8,3,3,7,1,9698,1,1
0,3,8,1,1,1,-1,-1,0,1
0,3,12,6,0,1,-1,-1,1,1
0,3,12,7,0,1,-1,-1,1,0
0,1,12,8,0,1,0,36,1,0
1,3,9,4,0,1,-1,-1,1,0
0,2,12,8,0,1,-1,-1,1,0
1,1,13,7,1,3,4,8,1,1
0,3,12,6,0,1,-1,-1,1,0
0,3,12,8,0,2,-1,-1,1,0
0,2,12,8,0,1,-1,-1,1,0
1,3,9,2,6,2,-1,-1,1,0
0,3,12,7,0,1,-1,-1,1,0
0,1,12,0,0,1,1,102,1,0
1,3,9,5,0,1,-1,-1,1,0
0,2,12,7,2,2,-1,-1,0,0
0,3,12,9,0,1,-1,-1,1,0
0,3,8,3,5,2,-1,-1,1,0
1,1,13,11,2,5,1,69,1,1
0,3,12,6,0,1,-1,-1,1,1
0,1,5,8,0,1,-1,-1,1,0
1,3,13,6,1,1,4,121,1,1
0,3,8,1,5,2,-1,-1,1,0
0,3,12,0,0,1,-1,-1,2,0
0,3,12,0,0,3,-1,-1,1,0
0,2,8,1,2,2,-1,-1,0,1
0,3,12,0,0,1,-1,-1,2,1
1,1,13,13,0,5,1,28,-1,1
1,3,13,4,1,1,-1,-1,0,1
0,2,8,1,2,1,-1,-1,1,1
0,3,12,0,0,1,-1,-1,0,0
0,3,12,5,0,1,-1,-1,1,0
0,3,12,4,0,1,-1,-1,1,0
1,1,9,8,2,5,4,49,0,1
0,3,12,5,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
0,3,12,7,0,3,-1,-1,1,1
0,1,12,0,0,2,2,47,0,1
0,3,12,5,0,1,-1,-1,1,0
0,2,12,4,0,1,-1,-1,1,0
1,1,9,7,0,2,-1,-1,0,1
0,3,12,7,0,1,-1,-1,0,0
0,3,12,4,0,1,-1,-1,1,0
0,3,12,9,0,1,-1,-1,1,0
0,3,12,0,10,4,-1,-1,1,0
0,3,12,8,0,1,-1,-1,0,0
0,2,15,6,1,2,-1,-1,1,0
1,1,13,0,1,5,2,92,0,1
0,3,8,1,6,2,-1,-1,1,0
0,3,12,15,0,1,-1,-1,1,0
1,3,9,2,2,1,-1,-1,0,0
1,1,9,4,1,2,3,28,1,1
1,2,13,9,1,2,-1,-1,1,0
1,3,13,4,1,1,-1,-1,1,1
1,1,13,10,2,9,-1,-1,1,1
0,1,12,11,0,2,4,17,1,1
1,3,13,5,3,1,-1,-1,0,1
0,3,12,0,0,1,-1,-1,0,0
0,3,12,9,2,1,-1,-1,1,0
0,2,12,5,1,1,-1,-1,1,0
1,1,13,10,0,2,3,17,1,1
1,3,9,0,10,4,-1,-1,1,0
0,2,12,5,0,1,-1,-1,1,0
1,2,13,9,0,1,-1,-1,1,1
1,2,9,6,1,1,-1,-1,0,1
0,1,12,7,0,3,0,24,1,0
0,3,12,0,0,1,-1,-1,1,0
0,3,8,1,2,1,-1,-1,1,1
0,3,12,6,0,1,-1,-1,1,0
1,1,13,10,2,3,3,35,1,1
0,1,12,7,0,1,1,515355,1,0
0,3,12,10,0,1,-1,-1,1,0
1,2,13,6,1,2,-1,-1,0,1
1,3,9,4,0,1,-1,-1,0,1
0,3,12,5,0,1,-1,-1,1,0
0,3,12,4,0,1,-1,-1,1,0
0,3,12,0,0,1,-1,-1,1,0
1,1,13,12,1,5,2,50,0,1
1,2,13,6,1,2,-1,-1,1,1
0,3,12,7,0,1,-1,-1,1,0
1,3,9,5,0,1,-1,-1,1,0
0,2,12,6,0,1,-1,-1,1,0
0,3,12,6,0,1,-1,-1,1,0
1,3,13,8,5,2,-1,-1,2,0
0,2,15,6,0,1,-1,-1,1,0
1,1,9,4,0,2,1,42,1,1
1,3,9,0,3,2,-1,-1,1,0
0,1,12,6,0,2,2,148,0,1
0,3,12,7,0,1,-1,-1,2,0
